name,chain,city,source,external_id,address,lat,lng,google_maps_url,booking_url,id,created_at
Lippo Plaza Manado,Cinepolis,Kairagi,cinepolis,9dec579c-2d54-4519-bc84-55f35c260d5b,"Jalan MR.A.Maramis, Kairagi Dua, Lingkungan IV, Mapanget, Kota Manado. , Manado",1.500965,124.891673,,https://cinepolis.co.id/movie/cinemaDetail.aspx?id=9dec579c-2d54-4519-bc84-55f35c260d5b&title=lippo-plaza-manado,dcc8acc0-9c3d-42a0-8410-3edf7a30ebbd,2026-05-27T17:32:38.415126
Lippo Plaza Medan,Cinepolis,Medan,cinepolis,b87aedb2-f933-4d91-a6c0-3bcc7f4990b8,"Jalan Imam Bonjol no.6 , LT.2 no.02- 09 , Medan",3.586539,98.673344,,https://cinepolis.co.id/movie/cinemaDetail.aspx?id=b87aedb2-f933-4d91-a6c0-3bcc7f4990b8&title=lippo-plaza-medan,440ade26-322b-48fc-af37-5b4c934a43e2,2026-05-27T17:32:39.868971
Lippo Plaza Sidoarjo,Cinepolis,Sidoarjo,cinepolis,658fe229-b139-4288-a97c-b9e45767a6eb,"Lippo Plaza Sidoarjo Lt. 1 Jl. Jati Raya No. 1 Jati, kec. Sidoarjo, Jawa Timur , Sidoarjo",-7.4461392,112.6984439,,https://cinepolis.co.id/movie/cinemaDetail.aspx?id=658fe229-b139-4288-a97c-b9e45767a6eb&title=lippo-plaza-sidoarjo,b460ade7-5350-447e-af98-87d14347f820,2026-05-27T17:32:41.697090
Lippo Plaza Sunset,Cinepolis,Badung,cinepolis,e33ed8ed-cd33-4a52-8673-0f4b7563cdfe,"Jl. Sunset Road, Kuta, Kabupaten Badung, Bali , Bali",-8.7150323,115.1832236,,https://cinepolis.co.id/movie/cinemaDetail.aspx?id=e33ed8ed-cd33-4a52-8673-0f4b7563cdfe&title=lippo-plaza-sunset,3d8d21b0-f693-42f1-a403-00fbe1f75f08,2026-05-27T17:32:42.902249
Living Plaza Balikpapan,Cinepolis,Balikpapan,cinepolis,bcc1854c-1de8-4a52-a53a-0dc5e55d5953,"Living Plaza Balikpapan Lantai 3, Jalan MT. Haryono RT 54, Kelurahan Gunung Bahagia, Kecamatan Balikpapan Selatan, Kota Balikpapan , Balikpapan",-1.242067,116.873223,,https://cinepolis.co.id/movie/cinemaDetail.aspx?id=bcc1854c-1de8-4a52-a53a-0dc5e55d5953&title=living-plaza-balikpapan,2a6ca7d3-fb46-4989-ad2f-d1d2c9085da3,2026-05-27T17:32:44.402982
Living World Pekanbaru,Cinepolis,Pekanbaru,cinepolis,9e51f62d-dfc7-4818-aed6-884740f70d9c,"Jl. Soekarno Hatta (Living World Lt 3) RT. 001 RW 008 Kel. Tangkerang Barat Kec. Marpoyan Damai Kota Pekanbaru , Pekanbaru",0.500103,101.420388,,https://cinepolis.co.id/movie/cinemaDetail.aspx?id=9e51f62d-dfc7-4818-aed6-884740f70d9c&title=living-world-pekanbaru,8f816799-041b-4fb2-b24c-be3067295df7,2026-05-27T17:32:45.925569
Mal Botania 2,Cinepolis,Batam,cinepolis,3602cab7-ea66-4e12-8938-947ff625a457,"Jl. Raya M. Saleh, Kelurahan Belian, Kecamatan Batam Kota. , Batam",1.1072858,104.084172,,https://cinepolis.co.id/movie/cinemaDetail.aspx?id=3602cab7-ea66-4e12-8938-947ff625a457&title=mal-botania-2,654f1f29-c93d-4af3-bfc2-f16953884d17,2026-05-27T17:32:46.865656
Mal Mandau City,Cinepolis,Mandau,cinepolis,64e2b8ce-5dbd-4ca2-b320-573d75de6df0,"Mal Mandau City, Jl. Jend. Sudirman, Komplek Duri Indah Raya Lt. 3 Blok E, Kel. Babussalam, Kec. Mandau, Kab. Bengkalis, Riau , Duri",1.2811583,101.194437,,https://cinepolis.co.id/movie/cinemaDetail.aspx?id=64e2b8ce-5dbd-4ca2-b320-573d75de6df0&title=mal-mandau-city,206b115a-5a8c-40b6-8cad-e24284616b9b,2026-05-27T17:32:48.324638
Mal Pekanbaru,Cinepolis,Pekanbaru,cinepolis,11a8df6f-66a9-4142-abb9-f1dc4ff93883,"Jl. Jendral Sudirman N0.61, Rintis, Kecamatan Lima Puluh, Kota Pekanbaru, Riau , Pekanbaru",0.5310808,101.4480728,,https://cinepolis.co.id/movie/cinemaDetail.aspx?id=11a8df6f-66a9-4142-abb9-f1dc4ff93883&title=mal-pekanbaru,7a687473-5745-4961-b4d7-511c59e160ec,2026-05-27T17:32:50.430025
Malang Town Square,Cinepolis,Malang,cinepolis,ddd0d7ad-ee40-42fb-8175-9e83d22a3685,"Jalan Veteran No 2, Malang Town Square, Lantai Upper Ground, Unit UA-03, Kelurahan Penanggungan, Kecamatan Klojen, Kota Malang , Malang",-7.95697,112.61888,,https://cinepolis.co.id/movie/cinemaDetail.aspx?id=ddd0d7ad-ee40-42fb-8175-9e83d22a3685&title=malang-town-square,125aa81b-f4bb-4480-9982-6eba5a050b53,2026-05-27T17:32:52.031609
Mall Lippo Cikarang,Cinepolis,Cikarang,cinepolis,d3b00bf4-faee-4f48-ac22-77a5340de805,"Mall Lippo Cikarang, Lantai 1 No 46, Jalan MH. Thamrin Desa Cibatu, Kecamatan Cikarang Selatan, Kabupaten Bekasi. , Cikarang",-6.334376,107.136964,,https://cinepolis.co.id/movie/cinemaDetail.aspx?id=d3b00bf4-faee-4f48-ac22-77a5340de805&title=mall-lippo-cikarang,6f5852e3-7883-4ea9-bd96-6c58bede1a73,2026-05-27T17:32:52.810856
Mall Of Serang,Cinepolis,Serang,cinepolis,7f83d1ea-4b62-4024-a4bb-64f2afd488f7,"Jalan Akses Tol Serang Timur, Lingkungan Kemang, Kelurahan Penancangan, Kecamatan Cipocok, Serang, Banten , Serang",-6.118617,106.182357,,https://cinepolis.co.id/movie/cinemaDetail.aspx?id=7f83d1ea-4b62-4024-a4bb-64f2afd488f7&title=mall-of-serang,d150d312-aff1-4626-9627-b54373a32931,2026-05-27T17:32:54.332288
Mall Phinisi Point,Cinepolis,Makassar,cinepolis,ae7f61f6-2a3f-4da1-b82a-cca6616025d3,"Jalan Metro Tj. Bunga No.2, Panambungan, Mariso, Kota Makassar, Sulawesi Selatan. , Makassar",-5.152148,119.404132,,https://cinepolis.co.id/movie/cinemaDetail.aspx?id=ae7f61f6-2a3f-4da1-b82a-cca6616025d3&title=mall-phinisi-point,f52e4d8f-92a6-467e-965c-dae00503471b,2026-05-27T17:32:55.846347
Mall The Galeria,Cinepolis,Banjarmasin,cinepolis,fdd21c5c-a305-4f35-b503-d4b9d8016471,"Banua Hanyar, Kertak Hanyar, Banjar Regency, South Kalimantan , Banjarmasin",-3.389764,114.655346,,https://cinepolis.co.id/movie/cinemaDetail.aspx?id=fdd21c5c-a305-4f35-b503-d4b9d8016471&title=mall-the-galeria,403533cf-4ab9-4fc0-8f81-fad5c2decf72,2026-05-27T17:32:57.346737
Mangga Dua Square,Cinepolis,Pademangan,cinepolis,577f3f86-2778-4bc8-b699-ea01d00a3ab2,"Mangga Dua Square Lt 3 Hall A Jl. Gunung Sahari Raya No.1 Pademangan Jakarta-Utara , Jakarta",-6.1390557,106.8322962,,https://cinepolis.co.id/movie/cinemaDetail.aspx?id=577f3f86-2778-4bc8-b699-ea01d00a3ab2&title=mangga-dua-square,cae1f5cf-9479-4888-b352-51a85593ad84,2026-05-27T17:32:59.451405
Maxxbox Lippo Village,Cinepolis,Lippo Karawaci,cinepolis,9aea2b2f-5a8f-4ee7-b5fb-b7246901847b,"MaxxBox Lippo Karawaci, Jl. Boulevard Palem Raya Lippo Karawaci, Kelurahan Kelapa Dua, Kecamatan Kelapa Dua, Kabupaten Tangerang , Tangerang",-6.228349,106.606483,,https://cinepolis.co.id/movie/cinemaDetail.aspx?id=9aea2b2f-5a8f-4ee7-b5fb-b7246901847b&title=maxxbox-lippo-village,92e74021-61e6-4293-aa4d-170a73de7b4b,2026-05-27T17:33:00.326105
Pacific Tegal,Cinepolis,Tegal,cinepolis,e29b4bb9-17b9-40dc-9c40-cd83fa28dd14,"Jalan Mayjen Sutoyo No 35, Kelurahan Pekauman, Kecamatan Tegal Barat, Kota Tegal , Tegal",-6.870049,109.12908,,https://cinepolis.co.id/movie/cinemaDetail.aspx?id=e29b4bb9-17b9-40dc-9c40-cd83fa28dd14&title=pacific-tegal,fe5894bf-c618-4346-a155-57883a164411,2026-05-27T17:33:01.826305
Palembang Icon,Cinepolis,Palembang,cinepolis,5715964f-7944-4d6c-9855-26c6a85819d3,"Palembang Icon Mall Lantai 3 No. 55 (L3-55), Jl. POM IX, Kel. Lorok Pakjo Kec. Ilir Barat I, Palembang , Palembang",-2.978104,104.744824,,https://cinepolis.co.id/movie/cinemaDetail.aspx?id=5715964f-7944-4d6c-9855-26c6a85819d3&title=palembang-icon,3abccc3e-885f-4b86-8f1b-e35722902b14,2026-05-27T17:33:04.045469
Plaza Medan Fair,Cinepolis,Medan,cinepolis,2db57f5c-f77b-46af-b2a9-658080c9ce91,"Jalan Gatot Subroto No.30, Sekip, Medan Petisah, Sekip, Medan Petisah, Kota Medan, Sumatera Utara , Medan",3.592565,98.663555,,https://cinepolis.co.id/movie/cinemaDetail.aspx?id=2db57f5c-f77b-46af-b2a9-658080c9ce91&title=plaza-medan-fair,5c17a28f-4e38-438f-af9a-c6199d782de9,2026-05-27T17:33:05.427066
Plaza Renon,Cinepolis,Renon,cinepolis,e1401a74-6c3f-4325-b159-b967ee42794f,"Jalan Raya Puputan, Niti Mandala Renon, Desa Sumerta Kelod, Denpasar Timur , Bali",-8.67333,115.244581,,https://cinepolis.co.id/movie/cinemaDetail.aspx?id=e1401a74-6c3f-4325-b159-b967ee42794f&title=plaza-renon,16e7dfe4-68e2-4958-a2ed-08eb2ad489b6,2026-05-27T17:33:06.482860
Pluit Village,Cinepolis,Pluit,cinepolis,4e2fd524-57e0-4f5e-b74a-dd7af30eb419,"Jalan Pluit Indah Raya RT.1/RW.4, Pluit, Penjaringan, RT.1/RW.4, Pluit, Penjaringan, Kota Jkt Utara, Daerah Khusus Ibukota Jakarta , Jakarta",-6.116703,106.789716,,https://cinepolis.co.id/movie/cinemaDetail.aspx?id=4e2fd524-57e0-4f5e-b74a-dd7af30eb419&title=pluit-village,e5334d27-206a-40c3-bd25-23073182b611,2026-05-27T17:33:07.864691
Pondok Kelapa Town Square,Cinepolis,Pondok Kelapa,cinepolis,31fc9ac4-5fb3-4c41-928d-504b76a28952,"Jl. Pondok Kelapa Raya, RT.16/RW.2, Pondok Kelapa., Kec. Duren Sawit, Kota Jakarta Timur, Daerah Khusus Ibukota Jakarta , Jakarta",-6.2406882,106.9156438,,https://cinepolis.co.id/movie/cinemaDetail.aspx?id=31fc9ac4-5fb3-4c41-928d-504b76a28952&title=pondok-kelapa-town-square,c0ca8d26-5f5f-449d-9470-da188dd825fb,2026-05-27T17:33:09.350056
Ponorogo City Center,Cinepolis,Ponorogo,cinepolis,95855762-900e-44a6-9453-9c457375595e,"Ponorogo City Center, 1st Floor, AT 1 No 19-21 Ir. Juanda No -25 , Ponorogo",-7.870566,111.483561,,https://cinepolis.co.id/movie/cinemaDetail.aspx?id=95855762-900e-44a6-9453-9c457375595e&title=ponorogo-city-center,bb14e7b0-fd93-4eeb-aa36-d9004fdedf74,2026-05-27T17:33:11.437435
Q mall Banjarbaru,Cinepolis,Banjarbaru,cinepolis,14125032-cea5-46ab-b1a9-4cb570e92750,"Jalan A. Yani KM 36,8 RT 001 RW 001 Kelurahan Sungai Ulin Kecamatan Banjarbaru Utara , Banjarbaru",-3.439183,114.848496,,https://cinepolis.co.id/movie/cinemaDetail.aspx?id=14125032-cea5-46ab-b1a9-4cb570e92750&title=q-mall-banjarbaru,9b310d77-b330-47c5-a70f-3a0f15ebc6ac,2026-05-27T17:33:12.350824
Senayan Park,Cinepolis,Jakarta Pusat,cinepolis,ccc7263c-717f-4d4f-b5e1-cc6933fd4982,"Taman Ria Senayan Jl. Gerbang Pemuda No.3 Gelora , Jakarta",-6.212,106.8053,,https://cinepolis.co.id/movie/cinemaDetail.aspx?id=ccc7263c-717f-4d4f-b5e1-cc6933fd4982&title=senayan-park,f0c5da35-7691-4167-80e5-6df24087959c,2026-05-27T17:33:14.446492
Siantar City Square,Cinepolis,Pematang Siantar,cinepolis,bf6d9964-9ae0-4f70-8c54-aa3e73a5382f,"Gedung siantar city square, Jl. Raya Medan no 88, Martoba, Kecamatan siantar utara, Naga Pita, Kota Pematang Siantar, Sumatera Utara , Pematang Siantar",2.9877596,99.0811995,,https://cinepolis.co.id/movie/cinemaDetail.aspx?id=bf6d9964-9ae0-4f70-8c54-aa3e73a5382f&title=siantar-city-square,3c2fce7d-0b88-49b0-8e68-989789c14841,2026-05-27T17:33:15.375288
Sidewalk Jimbaran,Cinepolis,Jimbaran,cinepolis,2e26a885-8172-4f76-b09d-09dadbac0d8f,"Jl Raya Uluwatu, Jimbaran, Kuta Selatan, Badung, Bali , Bali",-8.7961265,115.1611691,,https://cinepolis.co.id/movie/cinemaDetail.aspx?id=2e26a885-8172-4f76-b09d-09dadbac0d8f&title=sidewalk-jimbaran,fab95364-e275-4327-9eff-79d218cd1b97,2026-05-27T17:33:17.274126
Sun Plaza,Cinepolis,Medan,cinepolis,8ed5c62f-d8b6-47bd-a33a-0672805dfdf5,"Jalan K.H Zainul Arifin no.7 ,Level 4 zone A-22,kelurahan madras hulu, Kec Medan Polonia , Medan",3.582305,98.672152,,https://cinepolis.co.id/movie/cinemaDetail.aspx?id=8ed5c62f-d8b6-47bd-a33a-0672805dfdf5&title=sun-plaza,980a51ea-4f90-40d6-a2f0-89c1de6e0b8d,2026-05-27T17:33:18.987849
Tamini Square,Cinepolis,Tamini Square,cinepolis,9f91d231-1ecb-46f6-86bd-61c3e16336b4,"Tamini Square Lantai 2 SB-6, Jalan Taman Mini Raya, Kelurahan Pinang Ranti, Kecamatan Makasar, Kota administrasi Jakarta Timur , Jakarta",-6.290966,106.882243,,https://cinepolis.co.id/movie/cinemaDetail.aspx?id=9f91d231-1ecb-46f6-86bd-61c3e16336b4&title=tamini-square,d0f53b3d-9ff0-432e-ad30-436100f3ab27,2026-05-27T17:33:19.868915
The Park Pejaten,Cinepolis,Pejaten,cinepolis,39506c8a-951d-4cbd-ad98-b3a697766214,"Jl. Warung Jati Barat No.39, Jati Padang, Ps. Minggu, The Park Pejaten , Jakarta",-6.2805517,106.8289522,,https://cinepolis.co.id/movie/cinemaDetail.aspx?id=39506c8a-951d-4cbd-ad98-b3a697766214&title=the-park-pejaten,fcacc908-6800-4162-b4ea-6b7dcd1b65d2,2026-05-27T17:33:21.953545
